City,State,Country,PropertyType,SubArea,CompanyName,TownshipSocietyName,Description,PropertyAreainSqFt,PriceInLakhs,ClubHouse,School/UniversityInTownship,HospitalInTownShip,MallInTownShip,ParkJoggingTrack,SwimmingPool,Gym
Pune,Maharashtra,India,1,Bavdhan,Shapoorji paloonji,Vanaha ,Shapoorji paloonji comunity located in the suburbs of bavadhan locality is situated in a pleasant environment around. this 1bhk property comes with a swimming pool and parking facilty in the community. it also comes with temples and churches near by for devotional purposes,492.0,39.0,1,1,1,1,1,1,1
Pune,Maharashtra,India,2,Bavdhan,Shapoorji paloonji,Vanaha ,Vanaha township located near the lonavala hill range. offers a very greenery filled environment and a friendly community. comes with a 2bhk well furnished home at affordable price,774.0,65.0,1,1,1,1,1,1,1
Pune,Maharashtra,India,3,Bavdhan,Shapoorji paloonji,Vanaha ,"Vanaha society is suitable for all aged group people with a playareafor kids, woodland for the teen's and a park for elderly person's to find the serenity. this community also offers clubhouse and gym facilities.",889.0,74.0,1,1,1,1,1,1,1
Pune,Maharashtra,India,3,Bavdhan,Shapoorji paloonji,Vanaha ,"Vanaha township are offering 3bhk grand prpoerties at bavdhan area, pune. the newly launched project has podium level amenities that speak the language of great design and functionality.",1018.0,89.0,1,1,1,1,1,1,1
Pune,Maharashtra,India,2,Mahalunge,Godrej properties,Godrej hills retreat,"The area is a hub of prestigious schools like bishop’s high school, vibgyor intl. school, boston world school. it also offers quick access to important highways such as pune-bengaluru, pune-solapur & pune-mumbai expressway.",743.0,74.0,1,1,1,1,1,1,1
Pune,Maharashtra,India,3,Mahalunge,Godrej properties,Godrej hills retreat,"Strategically located in mahalunge, pune's quaint, nature-loving and yet, well-connected suburb, godrej hills retreat welcomes you to experience the height of high living.",975.0,95.0,1,1,1,1,1,1,1
Pune,Maharashtra,India,2,Balewadi,Anp corp,Anp universe,"The project boasts 6 elegant towers of 11 & 12 stories, offering 2 & 3 bedroom apartment in balewadi,pune with the quality specification and great community living in form of amenities like a well-equipped clubhouse and landscape garden.",894.5,75.0,1,0,0,0,1,1,1
Pune,Maharashtra,India,3,Balewadi,Anp corp,Anp universe,"The project boasts 6 elegant towers of 11 & 12 stories, offering 2 and 3 bedroom apartment in balewadi,pune with the quality specification and great community living in form of amenities like swimming pools, club house and gym.",1174.5,100.0,1,0,0,0,1,1,1
Pune,Maharashtra,India,2,Ravet,Urban space creator,Urban skyline,"Urban space creator project has 2 &3 bhk flats in ravet, pune. it is a new residential construction in pune. the project is nestled amongst reputed eon & ravet it parks, world-class amanora & seasons malls. the project offers flats for sale in ravet.",905.0,65.0,1,0,0,0,1,1,1
Pune,Maharashtra,India,3,Ravet,Urban space creator,Urban skyline,"One of the top residential hubs in pune, it is well-connected to other parts of pune such as pimpri and talegaon. areas like aundh, wakad ,saudagar etc. are also easily accessible from the region.",1125.0,88.0,1,0,0,0,1,1,1
Pune,Maharashtra,India,4,Ravet,Urban space creator,Urban skyline,"The newly launched project has podium level amenities that speak the language of great design and functionality.the township is nestled at the intersection of three major routes viz. old nh-4 highway, katraj-dehu road and mumbai-pune expressway.",1644.0,135.0,1,0,0,0,1,1,1
Pune,Maharashtra,India,5,Ravet,Urban space creator,Urban skyline,"Located in north-western pune, it is surrounded with natural greens and gets ample fresh air. also offers with many temples and churches nearby for religious activities to be done. it also comes with a package of swimming pools, gym and etc.",1671.7999999999997,188.0,1,0,0,0,1,1,1
Pune,Maharashtra,India,6,Ravet,Urban space creator,Urban skyline,Urban space creator is amongst the best project in pune using modern technology construction for superstructure called alu-form system wherein walls and slabs for a typical floor gets cast at one time.,1671.7999999999997,188.0,1,0,0,0,1,1,1
Pune,Maharashtra,India,2,Baner,Vtp reality,Vtp cierra,Vtp cierra is a smartly designed project of 2bhk apartments by vtp reality. vtp cierra offers you state of the art amenities and at the same time is budget friendly.,753.5,58.0,1,0,0,0,1,1,1
Pune,Maharashtra,India,3,Baner,Vtp reality,Vtp cierra,"Vtp cierra is a smartly designed project of 2bhk apartments by vtp reality. it has various schools, colleges, hospitals, eateries , malls , banks and atm's nearby.",1051.0,95.0,1,0,0,0,1,1,1
Pune,Maharashtra,India,1,Mahalunge,Vtp reality,Vtp blue water,"Vtp blue water offers you state of the art amenities and at the same time is budget friendly too each apartment is designed with utmost precision and planned to perfection, with temples surrounded and fresh environment around",423.0,40.0,1,0,0,0,1,1,1
Pune,Maharashtra,India,2,Mahalunge,Vtp reality,Vtp blue water,"Each apartment in vtp blue wateris designed with utmost precision and planned to perfection.its strategic location gives you close proximity to pune airport, business bay , kharadi, shivajinagar, pune- mumbai highway, nagar road, phoenix market city, poona club.",665.0,58.0,1,0,0,0,1,1,1
Pune,Maharashtra,India,3,Mahalunge,Vtp reality,Vtp blue water,"Vtp blue water is a smartly designed project of 2bhk apartments by vtp reality. its strategic location gives you close proximity to pune airport, business bay , kharadi, shivajinagar, pune- mumbai highway, nagar road, phoenix market city, poona club.",878.5,78.0,1,0,0,0,1,1,1
Pune,Maharashtra,India,1,Ravet,Waghvani constructions,Om mangalam chaitanya,"The project boasts 6 elegant towers of 11 & 12 stories, offering 2 & 3 bedroom apartment in ravet pune with the quality specification and great community living in form of amenities like a well-equipped clubhouse, swimming pool, children's play park and a gym area.",462.0,36.0,1,0,0,0,1,1,1
