Property_Type,Club_House,School_University_In_Township,Hospital_In_Township,Mall_In_Township,Park_Jogging_Track,Swimming_Pool,Gym,Property_Area_in_SqFt,Price_In_Lakhs,Price_By_SubArea,Amenities_Score,Price_By_Amenities_Score,Noun_Counts,Verb_Counts,Adjective_Counts,boasts_elegant,elegant_towers,every_day,great_community,mantra_gold,offering_bedroom,quality_specification,stories_offering,towers_stories,world_class
1.0,1,1,1,1,1,1,1,492.0,39.0,58.044000000000004,7,72.66666666666667,9,1,3,0,0,0,0,0,0,0,0,0,0
2.0,1,1,1,1,1,1,1,774.0,65.0,58.044000000000004,7,72.66666666666667,9,1,3,0,0,0,0,0,0,0,0,0,0
3.0,1,1,1,1,1,1,1,889.0,74.0,58.044000000000004,7,72.66666666666667,9,1,3,0,0,0,0,0,0,0,0,0,0
3.0,1,1,1,1,1,1,1,1018.0,89.0,58.044000000000004,7,72.66666666666667,8,1,3,0,0,0,0,0,0,0,0,0,0
2.0,1,1,1,1,1,1,1,743.0,74.0,73.55555555555556,7,72.66666666666667,12,1,6,0,0,0,0,0,0,0,0,0,0
3.0,1,1,1,1,1,1,1,975.0,95.0,73.55555555555556,7,72.66666666666667,5,3,2,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,894.5,75.0,83.75,4,97.87350515463918,9,0,1,1,1,0,1,0,1,1,1,1,0
3.0,1,0,0,0,1,1,1,1174.5,100.0,83.75,4,97.87350515463918,9,0,1,1,1,0,1,0,1,1,1,1,0
2.0,1,0,0,0,1,1,1,905.0,65.0,86.58333333333333,4,97.87350515463918,11,1,3,0,0,0,0,0,0,0,0,0,1
3.0,1,0,0,0,1,1,1,1125.0,88.0,86.58333333333333,4,97.87350515463918,6,2,4,0,0,0,0,0,0,0,0,0,0
4.0,1,0,0,0,1,1,1,1644.0,135.0,86.58333333333333,4,97.87350515463918,13,1,4,0,0,0,0,0,0,0,0,0,0
5.0,1,0,0,0,1,1,1,1671.7999999999995,188.0,86.58333333333333,4,97.87350515463918,3,3,8,0,0,0,0,0,0,0,0,0,0
6.0,1,0,0,0,1,1,1,1671.7999999999995,188.0,86.58333333333333,4,97.87350515463918,10,2,3,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,753.5,58.0,132.96499999999997,4,97.87350515463918,10,2,0,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,1051.0,95.0,132.96499999999997,4,97.87350515463918,4,2,1,0,0,0,0,0,0,0,0,0,0
1.0,1,0,0,0,1,1,1,423.0,40.0,73.55555555555556,4,97.87350515463918,9,1,3,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,665.0,58.0,73.55555555555556,4,97.87350515463918,19,0,4,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,878.5,78.0,73.55555555555556,4,97.87350515463918,19,1,3,0,0,0,0,0,0,0,0,0,0
1.0,1,0,0,0,1,1,1,462.0,36.0,86.58333333333333,4,97.87350515463918,11,0,1,1,1,0,1,0,1,1,1,1,0
2.0,1,0,0,0,1,1,1,666.0,48.0,86.58333333333333,4,97.87350515463918,13,1,7,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,750.0,57.0,86.58333333333333,4,97.87350515463918,6,1,5,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,1030.0,79.0,86.58333333333333,4,97.87350515463918,10,1,5,0,0,0,0,0,0,0,0,0,0
1.0,1,0,0,0,1,0,1,446.0,37.0,66.310625,3,68.51434782608695,13,1,5,0,0,0,0,2,1,0,0,0,0
2.0,1,0,0,0,1,0,1,796.0,57.0,66.310625,3,68.51434782608695,9,0,4,0,0,0,0,1,1,0,0,0,0
2.0,1,0,0,0,1,0,1,842.0,59.0,66.310625,3,68.51434782608695,14,1,3,0,0,0,0,1,0,0,0,0,0
2.0,1,0,0,0,1,0,1,865.0,61.0,66.310625,3,68.51434782608695,11,0,3,0,0,0,0,1,0,0,0,0,0
2.0,1,0,0,0,1,0,1,902.0,63.0,66.310625,3,68.51434782608695,6,1,7,0,0,0,0,1,0,0,0,0,0
2.0,1,0,0,0,1,0,1,1154.0,79.0,66.310625,3,68.51434782608695,4,2,5,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,0,1,872.0,61.0,66.310625,3,68.51434782608695,8,0,6,0,0,0,0,1,0,0,0,0,0
3.0,1,0,0,0,1,0,1,934.0,65.0,66.310625,3,68.51434782608695,11,1,6,0,0,0,0,1,0,0,0,0,0
3.0,1,0,0,0,1,0,1,1088.0,73.0,66.310625,3,68.51434782608695,13,0,4,0,0,0,0,1,0,0,0,0,0
3.0,1,0,0,0,1,0,1,1109.0,76.0,66.310625,3,68.51434782608695,8,0,3,0,0,0,0,1,0,0,0,0,0
3.0,1,0,0,0,1,0,1,1163.0,80.0,66.310625,3,68.51434782608695,5,1,8,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,0,1,1419.0,96.0,66.310625,3,68.51434782608695,10,1,2,0,0,0,0,1,0,0,0,0,1
3.0,1,0,0,0,1,0,1,1485.0,100.0,66.310625,3,68.51434782608695,5,2,4,0,0,0,0,1,0,0,0,0,0
2.0,1,0,0,0,1,1,1,684.0,70.0,83.75,4,97.87350515463918,10,1,5,0,0,0,0,1,0,0,0,0,0
3.0,1,0,0,0,1,1,1,990.0,90.0,83.75,4,97.87350515463918,4,3,9,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,882.0,97.0,108.5,4,97.87350515463918,15,3,3,0,0,0,0,0,0,0,0,0,0
